layer,L2,MAE,cosine_sim,min_a,min_b,max_a,max_b
model.layers.13.mlp.down_proj.scales,0.86767578125,0.0024318695068359375,0.99609375,0.0026702880859375,0.0022411346435546875,0.11865234375,0.1148681640625
model.layers.13.mlp.gate_proj.scales,0.7470703125,0.0014896392822265625,0.986328125,0.004547119140625,0.005062103271484375,0.06787109375,0.0699462890625
model.layers.13.mlp.up_proj.scales,1.947265625,0.005496978759765625,0.98681640625,0.0045166015625,0.004817962646484375,0.06396484375,0.08203125
model.layers.13.self_attn.k_proj.scales,0.2296142578125,0.0031719207763671875,0.958984375,0.002105712890625,0.00269317626953125,0.03271484375,0.05780029296875
model.layers.13.self_attn.o_proj.scales,0.2303466796875,0.00130462646484375,0.9951171875,0.004241943359375,0.00452423095703125,0.08544921875,0.097412109375
model.layers.13.self_attn.q_proj.scales,0.364501953125,0.002105712890625,0.9736328125,0.0020599365234375,0.002147674560546875,0.04736328125,0.062744140625
model.layers.13.self_attn.v_proj.scales,0.283203125,0.0036029815673828125,0.92333984375,0.0026092529296875,0.0055999755859375,0.032470703125,0.039093017578125
model.layers.14.mlp.down_proj.scales,0.8662109375,0.0024051666259765625,0.99609375,0.00518798828125,0.0042877197265625,0.1298828125,0.126220703125
model.layers.14.mlp.gate_proj.scales,1.4814453125,0.00365447998046875,0.98681640625,0.004669189453125,0.0056304931640625,0.072265625,0.09857177734375
model.layers.14.mlp.up_proj.scales,3.576171875,0.0102996826171875,0.984375,0.00457763671875,0.00644683837890625,0.059326171875,0.162353515625
model.layers.14.self_attn.k_proj.scales,0.230712890625,0.002872467041015625,0.93896484375,0.001922607421875,0.0017175674438476562,0.08056640625,0.09478759765625
model.layers.14.self_attn.o_proj.scales,0.30517578125,0.001705169677734375,0.99169921875,0.004425048828125,0.00426483154296875,0.115234375,0.1497802734375
model.layers.14.self_attn.q_proj.scales,0.5859375,0.0032367706298828125,0.966796875,0.00173187255859375,0.0015420913696289062,0.08837890625,0.08074951171875
model.layers.14.self_attn.v_proj.scales,0.15283203125,0.0022430419921875,0.9208984375,0.0019683837890625,0.0027828216552734375,0.0225830078125,0.01067352294921875
model.layers.15.mlp.down_proj.scales,1.4912109375,0.004329681396484375,0.9931640625,0.00494384765625,0.0031566619873046875,0.1416015625,0.1856689453125
model.layers.15.mlp.gate_proj.scales,0.90234375,0.0016298294067382812,0.98388671875,0.004180908203125,0.005046844482421875,0.06591796875,0.08673095703125
model.layers.15.mlp.up_proj.scales,3.6484375,0.01068115234375,0.9853515625,0.0050048828125,0.005859375,0.0546875,0.0992431640625
model.layers.15.self_attn.k_proj.scales,0.1851806640625,0.0024089813232421875,0.96875,0.004180908203125,0.0033779144287109375,0.036376953125,0.056243896484375
model.layers.15.self_attn.o_proj.scales,0.36767578125,0.00213623046875,0.9931640625,0.003448486328125,0.0034427642822265625,0.1298828125,0.139892578125
model.layers.15.self_attn.q_proj.scales,0.439697265625,0.0025768280029296875,0.96484375,0.0017242431640625,0.002071380615234375,0.059326171875,0.08160400390625
model.layers.15.self_attn.v_proj.scales,0.31005859375,0.0048675537109375,0.94287109375,0.00244140625,0.0068359375,0.0242919921875,0.034637451171875
model.layers.16.mlp.down_proj.scales,1.4404296875,0.004230499267578125,0.99560546875,0.004730224609375,0.00341796875,0.138671875,0.1510009765625
model.layers.16.mlp.gate_proj.scales,1.7607421875,0.004241943359375,0.9833984375,0.004913330078125,0.006282806396484375,0.0927734375,0.1390380859375
model.layers.16.mlp.up_proj.scales,4.83984375,0.01430511474609375,0.986328125,0.0050048828125,0.006298065185546875,0.0693359375,0.13720703125
model.layers.16.self_attn.k_proj.scales,0.2020263671875,0.00286865234375,0.96923828125,0.0029449462890625,0.002254486083984375,0.050537109375,0.05438232421875
model.layers.16.self_attn.o_proj.scales,0.257080078125,0.0014781951904296875,0.99462890625,0.00445556640625,0.00449371337890625,0.10107421875,0.0997314453125
model.layers.16.self_attn.q_proj.scales,0.32421875,0.0019178390502929688,0.97412109375,0.0027313232421875,0.00354766845703125,0.03271484375,0.038665771484375
model.layers.16.self_attn.v_proj.scales,0.2015380859375,0.0026645660400390625,0.9443359375,0.0027923583984375,0.00644683837890625,0.03515625,0.03131103515625
model.layers.17.mlp.down_proj.scales,1.1328125,0.0032634735107421875,0.9951171875,0.005157470703125,0.003841400146484375,0.10107421875,0.12420654296875
model.layers.17.mlp.gate_proj.scales,1.0224609375,0.0017719268798828125,0.9814453125,0.004608154296875,0.00498199462890625,0.099609375,0.09625244140625
model.layers.17.mlp.up_proj.scales,2.75390625,0.0079345703125,0.986328125,0.00506591796875,0.00551605224609375,0.055419921875,0.0740966796875
model.layers.17.self_attn.k_proj.scales,0.1561279296875,0.00226593017578125,0.97802734375,0.0036468505859375,0.002986907958984375,0.0634765625,0.06854248046875
model.layers.17.self_attn.o_proj.scales,0.33251953125,0.0018796920776367188,0.994140625,0.004608154296875,0.00452423095703125,0.0771484375,0.08074951171875
model.layers.17.self_attn.q_proj.scales,0.359375,0.0020618438720703125,0.9755859375,0.0022125244140625,0.0024738311767578125,0.1279296875,0.1339111328125
model.layers.17.self_attn.v_proj.scales,0.2264404296875,0.003246307373046875,0.94580078125,0.002197265625,0.00576019287109375,0.025390625,0.0247039794921875
model.layers.18.mlp.down_proj.scales,1.4892578125,0.004314422607421875,0.99365234375,0.004547119140625,0.003231048583984375,0.1611328125,0.178955078125
model.layers.18.mlp.gate_proj.scales,0.91259765625,0.002399444580078125,0.98681640625,0.0045166015625,0.00391387939453125,0.08349609375,0.0784912109375
model.layers.18.mlp.up_proj.scales,2.20703125,0.006206512451171875,0.9853515625,0.0050048828125,0.0034351348876953125,0.07275390625,0.07733154296875
model.layers.18.self_attn.k_proj.scales,0.1671142578125,0.0024166107177734375,0.97607421875,0.002288818359375,0.002140045166015625,0.037353515625,0.05059814453125
model.layers.18.self_attn.o_proj.scales,0.267578125,0.0015420913696289062,0.99560546875,0.00390625,0.004459381103515625,0.0810546875,0.08905029296875
model.layers.18.self_attn.q_proj.scales,0.26611328125,0.0016460418701171875,0.99072265625,0.0019683837890625,0.0017499923706054688,0.06787109375,0.064208984375
